sourceFile,symbolName,symbolKind,isExported,cppTargetFile,status
"reactjs/packages/react/src/ReactClient.js","unstable_postpone","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","useCallback","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","useContext","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","useEffect","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","experimental_useEffectEvent","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","useImperativeHandle","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","useDebugValue","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","useInsertionEffect","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","useLayoutEffect","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","useMemo","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","useOptimistic","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","useActionState","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","useSyncExternalStore","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","useReducer","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","useRef","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","useState","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","Fragment","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","Profiler","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","StrictMode","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","Suspense","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","createElement","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","cloneElement","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","isValidElement","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","version","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","__CLIENT_INTERNALS_DO_NOT_USE_OR_WARN_USERS_THEY_CANNOT_UPGRADE","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","__COMPILER_RUNTIME","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","useTransition","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","startTransition","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","useDeferredValue","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","unstable_SuspenseList","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","unstable_LegacyHidden","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","unstable_Activity","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","unstable_getCacheForType","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","unstable_useCacheRefresh","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","use","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","unstable_Scope","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","unstable_TracingMarker","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","unstable_ViewTransition","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","unstable_addTransitionType","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","unstable_startGestureTransition","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","useId","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","act","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactClient.js","captureOwnerStack","variable-export",true,"packages/React/src/react/ReactClient.cpp","not-started"
"reactjs/packages/react/src/ReactCompilerRuntime.js","c","variable-export",true,"packages/React/src/react/ReactCompilerRuntime.cpp","not-started"
"reactjs/packages/react/src/ReactContext.js","createContext","function",true,"packages/React/src/react/ReactContext.cpp","not-started"
"reactjs/packages/react/src/ReactContext.js","context","variable-export",false,"packages/React/src/react/ReactContext.cpp","not-started"
"reactjs/packages/react/src/ReactCreateRef.js","createRef","function",true,"packages/React/src/react/ReactCreateRef.cpp","not-started"
"reactjs/packages/react/src/ReactCreateRef.js","refObject","variable-export",false,"packages/React/src/react/ReactCreateRef.cpp","not-started"
"reactjs/packages/react/src/ReactForwardRef.js","forwardRef","function",true,"packages/React/src/react/ReactForwardRef.cpp","not-started"
"reactjs/packages/react/src/ReactForwardRef.js","elementType","variable-export",false,"packages/React/src/react/ReactForwardRef.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","resolveDispatcher","function",false,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","getCacheForType","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","useContext","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","useState","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","useReducer","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","useRef","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","useEffect","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","useInsertionEffect","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","useLayoutEffect","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","useCallback","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","useMemo","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","useImperativeHandle","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","useDebugValue","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","useTransition","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","useDeferredValue","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","useId","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","useSyncExternalStore","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","useCacheRefresh","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","use","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","useMemoCache","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","useEffectEvent","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","useOptimistic","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactHooks.js","useActionState","function",true,"packages/React/src/react/ReactHooks.cpp","not-started"
"reactjs/packages/react/src/ReactLazy.js","Pending","const-export",false,"packages/React/src/react/ReactLazy.cpp","not-started"
"reactjs/packages/react/src/ReactLazy.js","Resolved","const-export",false,"packages/React/src/react/ReactLazy.cpp","not-started"
"reactjs/packages/react/src/ReactLazy.js","Rejected","const-export",false,"packages/React/src/react/ReactLazy.cpp","not-started"
"reactjs/packages/react/src/ReactLazy.js","LazyComponent","type-export",true,"packages/React/src/react/ReactLazy.h","not-started"
"reactjs/packages/react/src/ReactLazy.js","lazyInitializer","function",false,"packages/React/src/react/ReactLazy.cpp","not-started"
"reactjs/packages/react/src/ReactLazy.js","lazy","function",true,"packages/React/src/react/ReactLazy.cpp","not-started"
"reactjs/packages/react/src/ReactLazy.js","payload","variable-export",false,"packages/React/src/react/ReactLazy.cpp","not-started"
"reactjs/packages/react/src/ReactLazy.js","lazyType","variable-export",false,"packages/React/src/react/ReactLazy.cpp","not-started"
"reactjs/packages/react/src/ReactLazy.js","ioInfo","variable-export",false,"packages/React/src/react/ReactLazy.cpp","not-started"
"reactjs/packages/react/src/ReactMemo.js","memo","function",true,"packages/React/src/react/ReactMemo.cpp","not-started"
"reactjs/packages/react/src/ReactMemo.js","elementType","variable-export",false,"packages/React/src/react/ReactMemo.cpp","not-started"
"reactjs/packages/react/src/ReactNoopUpdateQueue.js","didWarnStateUpdateForUnmountedComponent","variable-export",false,"packages/React/src/react/ReactNoopUpdateQueue.cpp","not-started"
"reactjs/packages/react/src/ReactNoopUpdateQueue.js","warnNoop","function",false,"packages/React/src/react/ReactNoopUpdateQueue.cpp","not-started"
"reactjs/packages/react/src/ReactNoopUpdateQueue.js","ReactNoopUpdateQueue","variable-export",false,"packages/React/src/react/ReactNoopUpdateQueue.cpp","not-started"
"reactjs/packages/react/src/ReactNoopUpdateQueue.js","ReactNoopUpdateQueue","default-export",true,"packages/React/src/react/ReactNoopUpdateQueue.cpp","not-started"
"reactjs/packages/react/src/ReactOwnerStack.js","captureOwnerStack","function",true,"packages/React/src/react/ReactOwnerStack.cpp","not-started"
"reactjs/packages/react/src/ReactPostpone.js","Postpone","variable-export",true,"packages/React/src/react/ReactPostpone.cpp","not-started"
"reactjs/packages/react/src/ReactPostpone.js","postpone","function",true,"packages/React/src/react/ReactPostpone.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","__SERVER_INTERNALS_DO_NOT_USE_OR_WARN_USERS_THEY_CANNOT_UPGRADE","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","Children","variable-export",false,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","experimental_taintUniqueValue","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","experimental_taintObjectReference","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","Children","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","Fragment","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","Profiler","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","StrictMode","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","Suspense","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","cloneElement","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","createElement","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","createRef","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","use","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","forwardRef","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","isValidElement","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","lazy","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","memo","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","cache","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","cacheSignal","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","startTransition","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","unstable_getCacheForType","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","unstable_postpone","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","useId","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","useCallback","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","useDebugValue","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","useMemo","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","version","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","unstable_SuspenseList","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","unstable_ViewTransition","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.development.js","captureOwnerStack","variable-export",true,"packages/React/src/react/ReactServer.experimental.development.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","__SERVER_INTERNALS_DO_NOT_USE_OR_WARN_USERS_THEY_CANNOT_UPGRADE","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","Children","variable-export",false,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","experimental_taintUniqueValue","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","experimental_taintObjectReference","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","Children","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","Fragment","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","Profiler","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","StrictMode","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","Suspense","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","cloneElement","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","createElement","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","createRef","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","use","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","forwardRef","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","isValidElement","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","lazy","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","memo","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","cache","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","cacheSignal","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","startTransition","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","unstable_getCacheForType","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","unstable_postpone","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","useId","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","useCallback","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","useDebugValue","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","useMemo","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","version","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
"reactjs/packages/react/src/ReactServer.experimental.js","unstable_SuspenseList","variable-export",true,"packages/React/src/react/ReactServer.experimental.cpp","not-started"
